index,year,week,deaths,year.month,n_days,deaths.s,pop,pop.0to65,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1995.34,1995,34,508,1995.08,0,508,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.93721331452802,50.875363857455845,-14
1995.35,1995,35,472,1995.08,0,472,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.24874937885281,50.875363857455845,-14
1995.36,1995,36,512,1995.09,0,512,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.23593152960305,50.875363857455845,-14
1995.37,1995,37,500,1995.09,0,500,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.339776884377976,50.875363857455845,-14
1995.38,1995,38,479,1995.09,0,479,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7715062552341,50.875363857455845,-14
1995.39,1995,39,508,1995.09,0,508,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.93721331452802,50.875363857455845,-14
1995.40,1995,40,496,1995.10,0,496,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.041058669302956,50.875363857455845,-14
1995.41,1995,41,526,1995.10,0,526,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.28144528236563,50.875363857455845,-14
1995.42,1995,42,496,1995.10,0,496,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.041058669302956,50.875363857455845,-14
1995.43,1995,43,503,1995.10,0,503,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.56381554568424,50.875363857455845,-14
1995.44,1995,44,549,1995.10,0,549,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.99907501904702,50.875363857455845,-14
1995.45,1995,45,491,1995.11,0,491,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.667660900459175,50.875363857455845,-14
1995.46,1995,46,544,1995.11,0,544,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.62567725020324,50.875363857455845,-14
1995.47,1995,47,491,1995.11,0,491,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.667660900459175,50.875363857455845,-14
1995.48,1995,48,468,1995.11,0,468,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.95003116377779,50.875363857455845,-14
1995.49,1995,49,527,1995.12,0,527,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.356124836134384,50.875363857455845,-14
1995.50,1995,50,560,1995.12,0,560,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.82055011050333,50.875363857455845,-14
1995.51,1995,51,569,1995.12,0,569,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.49266609442214,50.875363857455845,-14
1995.52,1995,52,585,1995.12,0,585,13.390546,6.812489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.687538954722235,50.875363857455845,-14
1996.1,1996,1,603,1996.01,0,603,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.889394541821844,50.87233940074669,-13
1996.2,1996,2,557,1996.01,0,557,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.46499628490011,50.87233940074669,-13
1996.3,1996,3,507,1996.01,0,507,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.74282426650692,50.87233940074669,-13
1996.4,1996,4,492,1996.01,0,492,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.62617266098896,50.87233940074669,-13
1996.5,1996,5,505,1996.01,0,505,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.59393738577119,50.87233940074669,-13
1996.6,1996,6,510,1996.02,0,510,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.96615458761051,50.87233940074669,-13
1996.7,1996,7,533,1996.02,0,533,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.67835371607138,50.87233940074669,-13
1996.8,1996,8,464,1996.02,0,464,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.541756330688784,50.87233940074669,-13
1996.9,1996,9,520,1996.02,0,520,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.71058899128915,50.87233940074669,-13
1996.10,1996,10,459,1996.03,0,459,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.169539128849465,50.87233940074669,-13
1996.11,1996,11,522,1996.03,0,522,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.85947587202488,50.87233940074669,-13
1996.12,1996,12,493,1996.03,0,493,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.70061610135683,50.87233940074669,-13
1996.13,1996,13,522,1996.03,0,522,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.85947587202488,50.87233940074669,-13
1996.14,1996,14,491,1996.04,0,491,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.551729220621105,50.87233940074669,-13
1996.15,1996,15,493,1996.04,0,493,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.70061610135683,50.87233940074669,-13
1996.16,1996,16,529,1996.04,0,529,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.380579954599924,50.87233940074669,-13
1996.17,1996,17,489,1996.04,0,489,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.402842339885375,50.87233940074669,-13
1996.18,1996,18,475,1996.04,0,475,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.36063417473528,50.87233940074669,-13
1996.19,1996,19,482,1996.05,0,482,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.88173825731033,50.87233940074669,-13
1996.20,1996,20,525,1996.05,0,525,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.08280619312847,50.87233940074669,-13
1996.21,1996,21,511,1996.05,0,511,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.040598027978376,50.87233940074669,-13
1996.22,1996,22,513,1996.05,0,513,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.18948490871411,50.87233940074669,-13
1996.23,1996,23,521,1996.06,0,521,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.785032431657015,50.87233940074669,-13
1996.24,1996,24,454,1996.06,0,454,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.797321927010145,50.87233940074669,-13
1996.25,1996,25,477,1996.06,0,477,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.50952105547101,50.87233940074669,-13
1996.26,1996,26,482,1996.06,0,482,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.88173825731033,50.87233940074669,-13
