index,year,week,deaths,year.month,n_days,deaths.s,pop.80.x,pop.80.y,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1995.1,1995,1,1538,1995.01,1,1345.75,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3232.742765739653,30.195036541763965,-14
1995.2,1995,2,1357,1995.01,0,1357,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2852.296445454297,30.195036541763965,-14
1995.3,1995,3,1248,1995.01,0,1248,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2623.1878879343867,30.195036541763965,-14
1995.4,1995,4,1271,1995.01,0,1271,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2671.5318954844597,30.195036541763965,-14
1995.5,1995,5,1219,1995.01,0,1219,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2562.23240015386,30.195036541763965,-14
1995.6,1995,6,1193,1995.02,0,1193,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2507.5826524885606,30.195036541763965,-14
1995.7,1995,7,1160,1995.02,0,1160,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2438.2195112210647,30.195036541763965,-14
1995.8,1995,8,1191,1995.02,0,1191,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2503.378825745076,30.195036541763965,-14
1995.9,1995,9,1147,1995.02,0,1147,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2410.8946373884146,30.195036541763965,-14
1995.10,1995,10,1271,1995.03,0,1271,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2671.5318954844597,30.195036541763965,-14
1995.11,1995,11,1334,1995.03,0,1334,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803.952437904224,30.195036541763965,-14
1995.12,1995,12,1312,1995.03,0,1312,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2757.710343725894,30.195036541763965,-14
1995.13,1995,13,1213,1995.03,0,1213,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2549.6209199234063,30.195036541763965,-14
1995.14,1995,14,1324,1995.04,0,1324,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2782.9333041868013,30.195036541763965,-14
1995.15,1995,15,1176,1995.04,0,1176,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2471.8501251689413,30.195036541763965,-14
1995.16,1995,16,1246,1995.04,0,1246,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618.984061190902,30.195036541763965,-14
1995.17,1995,17,1251,1995.04,0,1251,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629.4936280496136,30.195036541763965,-14
1995.18,1995,18,1192,1995.05,0,1192,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2505.4807391168183,30.195036541763965,-14
1995.19,1995,19,1089,1995.05,0,1089,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2288.9836618273616,30.195036541763965,-14
1995.20,1995,20,1126,1995.05,0,1126,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2366.7544565818266,30.195036541763965,-14
1995.21,1995,21,1099,1995.05,0,1099,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2310.0027955447845,30.195036541763965,-14
1995.22,1995,22,1076,1995.05,0,1076,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2261.6587879947115,30.195036541763965,-14
1995.23,1995,23,1024,1995.06,0,1024,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152.359292664112,30.195036541763965,-14
1995.24,1995,24,1058,1995.06,0,1058,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2223.8243473033504,30.195036541763965,-14
1995.25,1995,25,1171,1995.06,0,1171,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2461.34055831023,30.195036541763965,-14
1995.26,1995,26,1228,1995.06,0,1228,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2581.149620499541,30.195036541763965,-14
1995.27,1995,27,1094,1995.07,0,1094,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2299.493228686073,30.195036541763965,-14
1995.28,1995,28,1360,1995.07,0,1360,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2858.602185569524,30.195036541763965,-14
1995.29,1995,29,1093,1995.07,0,1093,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2297.3913153143308,30.195036541763965,-14
1995.30,1995,30,1113,1995.07,0,1113,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2339.4295827491765,30.195036541763965,-14
1995.31,1995,31,1328,1995.07,0,1328,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2791.3409576737704,30.195036541763965,-14
1995.32,1995,32,1098,1995.08,0,1098,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307.900882173042,30.195036541763965,-14
1995.33,1995,33,1066,1995.08,0,1066,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240.6396542772886,30.195036541763965,-14
1995.34,1995,34,1068,1995.08,0,1068,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244.843481020773,30.195036541763965,-14
1995.35,1995,35,1013,1995.08,0,1013,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2129.238245574947,30.195036541763965,-14
1995.36,1995,36,1031,1995.09,0,1031,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2167.072686266308,30.195036541763965,-14
1995.37,1995,37,1002,1995.09,0,1002,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2106.1171984857815,30.195036541763965,-14
1995.38,1995,38,1002,1995.09,0,1002,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2106.1171984857815,30.195036541763965,-14
1995.39,1995,39,1020,1995.09,0,1020,0.475757,0.14365499999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2143.951639177143,30.195036541763965,-14
